file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,getCode/0,false,33,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,getName/0,false,29,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,getFlights/0,false,41,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,"Airport/3[java.lang.String,java.lang.String,java.lang.String]",true,15,0,0,0,0,1,0,6,0,0,3,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,"Airport/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String[]]",true,22,0,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,getAllowedAircrafts/0,false,49,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,getLocation/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,setFlights/1[java.util.List<flight.reservation.flight.Flight>],false,45,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,getCrewCapacity/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,PassengerDroneAdapter/1[flight.reservation.plane.PassengerDrone],true,6,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,getModel/0,false,11,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
